factor
"group_mean((open - high)/(returns - close), subindustry)"
"group_zscore((open - low)/(returns - low), subindustry)"
"group_rank((open - low)/(returns - low), subindustry)"
"group_mean((open - low)/(returns - low), subindustry)"
"group_zscore(-(open - low)/(returns - low), subindustry)"
"group_rank(-(open - low)/(returns - low), subindustry)"
"group_mean(-(open - low)/(returns - low), subindustry)"
"group_zscore((open - low)/(returns - close), subindustry)"
"group_rank((open - low)/(returns - close), subindustry)"
"group_mean((open - low)/(returns - close), subindustry)"
"group_zscore(-(open - low)/(returns - close), subindustry)"
"group_rank(-(open - low)/(returns - close), subindustry)"
"group_mean(-(open - low)/(returns - close), subindustry)"
"group_zscore((open - low)/(returns - vwap), subindustry)"
"group_rank((open - low)/(returns - vwap), subindustry)"
"group_mean((open - low)/(returns - vwap), subindustry)"
"group_zscore(-(open - low)/(returns - vwap), subindustry)"
"group_rank(-(open - low)/(returns - vwap), subindustry)"
"group_mean(-(open - low)/(returns - vwap), subindustry)"
"group_zscore((open - low)/(returns - adj_close), subindustry)"
"group_rank((open - low)/(returns - adj_close), subindustry)"
"group_mean((open - low)/(returns - adj_close), subindustry)"
"group_zscore(-(open - low)/(returns - adj_close), subindustry)"
"group_rank(-(open - low)/(returns - adj_close), subindustry)"
"group_mean(-(open - low)/(returns - adj_close), subindustry)"
"group_zscore((open - low)/(adj_close - open), subindustry)"
"group_rank((open - low)/(adj_close - open), subindustry)"
"group_mean((open - low)/(adj_close - open), subindustry)"
"group_zscore(-(open - low)/(adj_close - open), subindustry)"
"group_rank(-(open - low)/(adj_close - open), subindustry)"
"group_mean(-(open - low)/(adj_close - open), subindustry)"
"group_zscore((open - low)/(adj_close - high), subindustry)"
"group_rank((open - low)/(adj_close - high), subindustry)"
"group_mean((open - low)/(adj_close - high), subindustry)"
"group_zscore(-(open - low)/(adj_close - high), subindustry)"
"group_rank(-(open - low)/(adj_close - high), subindustry)"
"group_mean(-(open - low)/(adj_close - high), subindustry)"
"group_zscore((open - low)/(adj_close - low), subindustry)"
"group_rank((open - low)/(adj_close - low), subindustry)"
"group_mean((open - low)/(adj_close - low), subindustry)"
"group_zscore(-(open - low)/(adj_close - low), subindustry)"
"group_rank(-(open - low)/(adj_close - low), subindustry)"
"group_mean(-(open - low)/(adj_close - low), subindustry)"
"group_zscore((open - low)/(adj_close - close), subindustry)"
"group_rank((open - low)/(adj_close - close), subindustry)"
"group_mean((open - low)/(adj_close - close), subindustry)"
"group_zscore(-(open - low)/(adj_close - close), subindustry)"
"group_rank(-(open - low)/(adj_close - close), subindustry)"
"group_mean(-(open - low)/(adj_close - close), subindustry)"
"group_zscore((open - low)/(adj_close - vwap), subindustry)"
"group_rank((open - low)/(adj_close - vwap), subindustry)"
"group_mean((open - low)/(adj_close - vwap), subindustry)"
"group_zscore(-(open - low)/(adj_close - vwap), subindustry)"
"group_rank(-(open - low)/(adj_close - vwap), subindustry)"
"group_mean(-(open - low)/(adj_close - vwap), subindustry)"
"group_zscore((open - low)/(adj_close - returns), subindustry)"
"group_rank((open - low)/(adj_close - returns), subindustry)"
"group_mean((open - low)/(adj_close - returns), subindustry)"
"group_zscore(-(open - low)/(adj_close - returns), subindustry)"
"group_rank(-(open - low)/(adj_close - returns), subindustry)"
"group_mean(-(open - low)/(adj_close - returns), subindustry)"
"group_zscore((open - close)/(open - high), subindustry)"
"group_rank((open - close)/(open - high), subindustry)"
"group_mean((open - close)/(open - high), subindustry)"
"group_zscore(-(open - close)/(open - high), subindustry)"
"group_rank(-(open - close)/(open - high), subindustry)"
"group_mean(-(open - close)/(open - high), subindustry)"
"group_zscore((open - close)/(open - low), subindustry)"
"group_rank((open - close)/(open - low), subindustry)"
"group_mean((open - close)/(open - low), subindustry)"
"group_zscore(-(open - close)/(open - low), subindustry)"
"group_rank(-(open - close)/(open - low), subindustry)"
"group_mean(-(open - close)/(open - low), subindustry)"
"group_zscore((open - close)/(open - close), subindustry)"
"group_rank((open - close)/(open - close), subindustry)"
"group_mean((open - close)/(open - close), subindustry)"
"group_zscore(-(open - close)/(open - close), subindustry)"
"group_rank(-(open - close)/(open - close), subindustry)"
"group_mean(-(open - close)/(open - close), subindustry)"
"group_zscore((open - close)/(open - vwap), subindustry)"
"group_rank((open - close)/(open - vwap), subindustry)"
"group_mean((open - close)/(open - vwap), subindustry)"
"group_zscore(-(open - close)/(open - vwap), subindustry)"
"group_rank(-(open - close)/(open - vwap), subindustry)"
"group_mean(-(open - close)/(open - vwap), subindustry)"
"group_zscore((open - close)/(open - returns), subindustry)"
"group_rank((open - close)/(open - returns), subindustry)"
"group_mean((open - close)/(open - returns), subindustry)"
"group_zscore(-(open - close)/(open - returns), subindustry)"
"group_rank(-(open - close)/(open - returns), subindustry)"
"group_mean(-(open - close)/(open - returns), subindustry)"
"group_zscore((open - close)/(open - adj_close), subindustry)"
"group_rank((open - close)/(open - adj_close), subindustry)"
"group_mean((open - close)/(open - adj_close), subindustry)"
"group_zscore(-(open - close)/(open - adj_close), subindustry)"
"group_rank(-(open - close)/(open - adj_close), subindustry)"
"group_mean(-(open - close)/(open - adj_close), subindustry)"
"group_zscore((open - close)/(high - open), subindustry)"
"group_rank((open - close)/(high - open), subindustry)"
"group_mean((open - close)/(high - open), subindustry)"
"group_zscore(-(open - close)/(high - open), subindustry)"
"group_rank(-(open - close)/(high - open), subindustry)"
"group_mean(-(open - close)/(high - open), subindustry)"
"group_zscore((open - close)/(high - low), subindustry)"
"group_rank((open - close)/(high - low), subindustry)"
"group_mean((open - close)/(high - low), subindustry)"
"group_zscore(-(open - close)/(high - low), subindustry)"
"group_rank(-(open - close)/(high - low), subindustry)"
"group_mean(-(open - close)/(high - low), subindustry)"
"group_zscore((open - close)/(high - close), subindustry)"
"group_rank((open - close)/(high - close), subindustry)"
"group_mean((open - close)/(high - close), subindustry)"
"group_zscore(-(open - close)/(high - close), subindustry)"
"group_rank(-(open - close)/(high - close), subindustry)"
"group_mean(-(open - close)/(high - close), subindustry)"
"group_zscore((open - close)/(high - vwap), subindustry)"
"group_rank((open - close)/(high - vwap), subindustry)"
"group_mean((open - close)/(high - vwap), subindustry)"
"group_zscore(-(open - close)/(high - vwap), subindustry)"
"group_rank(-(open - close)/(high - vwap), subindustry)"
"group_mean(-(open - close)/(high - vwap), subindustry)"
"group_zscore((open - close)/(high - returns), subindustry)"
"group_rank((open - close)/(high - returns), subindustry)"
"group_mean((open - close)/(high - returns), subindustry)"
"group_zscore(-(open - close)/(high - returns), subindustry)"
"group_rank(-(open - close)/(high - returns), subindustry)"
"group_mean(-(open - close)/(high - returns), subindustry)"
"group_zscore((open - close)/(high - adj_close), subindustry)"
"group_rank((open - close)/(high - adj_close), subindustry)"
"group_mean((open - close)/(high - adj_close), subindustry)"
"group_zscore(-(open - close)/(high - adj_close), subindustry)"
"group_rank(-(open - close)/(high - adj_close), subindustry)"
"group_mean(-(open - close)/(high - adj_close), subindustry)"
"group_zscore((open - close)/(low - open), subindustry)"
"group_rank((open - close)/(low - open), subindustry)"
"group_mean((open - close)/(low - open), subindustry)"
"group_zscore(-(open - close)/(low - open), subindustry)"
"group_rank(-(open - close)/(low - open), subindustry)"
"group_mean(-(open - close)/(low - open), subindustry)"
"group_zscore((open - close)/(low - high), subindustry)"
"group_rank((open - close)/(low - high), subindustry)"
"group_mean((open - close)/(low - high), subindustry)"
"group_zscore(-(open - close)/(low - high), subindustry)"
"group_rank(-(open - close)/(low - high), subindustry)"
"group_mean(-(open - close)/(low - high), subindustry)"
"group_zscore((open - close)/(low - close), subindustry)"
"group_rank((open - close)/(low - close), subindustry)"
"group_mean((open - close)/(low - close), subindustry)"
"group_zscore(-(open - close)/(low - close), subindustry)"
"group_rank(-(open - close)/(low - close), subindustry)"
"group_mean(-(open - close)/(low - close), subindustry)"
"group_zscore((open - close)/(low - vwap), subindustry)"
"group_rank((open - close)/(low - vwap), subindustry)"
"group_mean((open - close)/(low - vwap), subindustry)"
"group_zscore(-(open - close)/(low - vwap), subindustry)"
"group_rank(-(open - close)/(low - vwap), subindustry)"
"group_mean(-(open - close)/(low - vwap), subindustry)"
"group_zscore((open - close)/(low - returns), subindustry)"
"group_rank((open - close)/(low - returns), subindustry)"
"group_mean((open - close)/(low - returns), subindustry)"
"group_zscore(-(open - close)/(low - returns), subindustry)"
"group_rank(-(open - close)/(low - returns), subindustry)"
"group_mean(-(open - close)/(low - returns), subindustry)"
"group_zscore((open - close)/(low - adj_close), subindustry)"
"group_rank((open - close)/(low - adj_close), subindustry)"
"group_mean((open - close)/(low - adj_close), subindustry)"
"group_zscore(-(open - close)/(low - adj_close), subindustry)"
"group_rank(-(open - close)/(low - adj_close), subindustry)"
"group_mean(-(open - close)/(low - adj_close), subindustry)"
"group_zscore((open - close)/(close - open), subindustry)"
"group_rank((open - close)/(close - open), subindustry)"
"group_mean((open - close)/(close - open), subindustry)"
"group_zscore(-(open - close)/(close - open), subindustry)"
"group_rank(-(open - close)/(close - open), subindustry)"
"group_mean(-(open - close)/(close - open), subindustry)"
"group_zscore((open - close)/(close - high), subindustry)"
"group_rank((open - close)/(close - high), subindustry)"
"group_mean((open - close)/(close - high), subindustry)"
"group_zscore(-(open - close)/(close - high), subindustry)"
"group_rank(-(open - close)/(close - high), subindustry)"
"group_mean(-(open - close)/(close - high), subindustry)"
"group_zscore((open - close)/(close - low), subindustry)"
"group_rank((open - close)/(close - low), subindustry)"
"group_mean((open - close)/(close - low), subindustry)"
"group_zscore(-(open - close)/(close - low), subindustry)"
"group_rank(-(open - close)/(close - low), subindustry)"
"group_mean(-(open - close)/(close - low), subindustry)"
"group_zscore((open - close)/(close - vwap), subindustry)"
"group_rank((open - close)/(close - vwap), subindustry)"
"group_mean((open - close)/(close - vwap), subindustry)"
"group_zscore(-(open - close)/(close - vwap), subindustry)"
"group_rank(-(open - close)/(close - vwap), subindustry)"
"group_mean(-(open - close)/(close - vwap), subindustry)"
"group_zscore((open - close)/(close - returns), subindustry)"
"group_rank((open - close)/(close - returns), subindustry)"
"group_mean((open - close)/(close - returns), subindustry)"
"group_zscore(-(open - close)/(close - returns), subindustry)"
"group_rank(-(open - close)/(close - returns), subindustry)"
"group_mean(-(open - close)/(close - returns), subindustry)"
"group_zscore((open - close)/(close - adj_close), subindustry)"
"group_rank((open - close)/(close - adj_close), subindustry)"
"group_mean((open - close)/(close - adj_close), subindustry)"
"group_zscore(-(open - close)/(close - adj_close), subindustry)"
"group_rank(-(open - close)/(close - adj_close), subindustry)"
"group_mean(-(open - close)/(close - adj_close), subindustry)"
"group_zscore((open - close)/(vwap - open), subindustry)"
"group_rank((open - close)/(vwap - open), subindustry)"
"group_mean((open - close)/(vwap - open), subindustry)"
"group_zscore(-(open - close)/(vwap - open), subindustry)"
"group_rank(-(open - close)/(vwap - open), subindustry)"
"group_mean(-(open - close)/(vwap - open), subindustry)"
"group_zscore((open - close)/(vwap - high), subindustry)"
"group_rank((open - close)/(vwap - high), subindustry)"
"group_mean((open - close)/(vwap - high), subindustry)"
"group_zscore(-(open - close)/(vwap - high), subindustry)"
"group_rank(-(open - close)/(vwap - high), subindustry)"
"group_mean(-(open - close)/(vwap - high), subindustry)"
"group_zscore((open - close)/(vwap - low), subindustry)"
"group_rank((open - close)/(vwap - low), subindustry)"
"group_mean((open - close)/(vwap - low), subindustry)"
"group_zscore(-(open - close)/(vwap - low), subindustry)"
"group_rank(-(open - close)/(vwap - low), subindustry)"
"group_mean(-(open - close)/(vwap - low), subindustry)"
"group_zscore((open - close)/(vwap - close), subindustry)"
"group_rank((open - close)/(vwap - close), subindustry)"
"group_mean((open - close)/(vwap - close), subindustry)"
"group_zscore(-(open - close)/(vwap - close), subindustry)"
"group_rank(-(open - close)/(vwap - close), subindustry)"
"group_mean(-(open - close)/(vwap - close), subindustry)"
"group_zscore((open - close)/(vwap - returns), subindustry)"
"group_rank((open - close)/(vwap - returns), subindustry)"
"group_mean((open - close)/(vwap - returns), subindustry)"
"group_zscore(-(open - close)/(vwap - returns), subindustry)"
"group_rank(-(open - close)/(vwap - returns), subindustry)"
"group_mean(-(open - close)/(vwap - returns), subindustry)"
"group_zscore((open - close)/(vwap - adj_close), subindustry)"
"group_rank((open - close)/(vwap - adj_close), subindustry)"
"group_mean((open - close)/(vwap - adj_close), subindustry)"
"group_zscore(-(open - close)/(vwap - adj_close), subindustry)"
"group_rank(-(open - close)/(vwap - adj_close), subindustry)"
"group_mean(-(open - close)/(vwap - adj_close), subindustry)"
"group_zscore((open - close)/(returns - open), subindustry)"
"group_rank((open - close)/(returns - open), subindustry)"
"group_mean((open - close)/(returns - open), subindustry)"
"group_zscore(-(open - close)/(returns - open), subindustry)"
"group_rank(-(open - close)/(returns - open), subindustry)"
"group_mean(-(open - close)/(returns - open), subindustry)"
"group_zscore((open - close)/(returns - high), subindustry)"
"group_rank((open - close)/(returns - high), subindustry)"
"group_mean((open - close)/(returns - high), subindustry)"
"group_zscore(-(open - close)/(returns - high), subindustry)"
"group_rank(-(open - close)/(returns - high), subindustry)"
"group_mean(-(open - close)/(returns - high), subindustry)"
"group_zscore((open - close)/(returns - low), subindustry)"
"group_rank((open - close)/(returns - low), subindustry)"
"group_mean((open - close)/(returns - low), subindustry)"
"group_zscore(-(open - close)/(returns - low), subindustry)"
"group_rank(-(open - close)/(returns - low), subindustry)"
"group_mean(-(open - close)/(returns - low), subindustry)"
"group_zscore((open - close)/(returns - close), subindustry)"
"group_rank((open - close)/(returns - close), subindustry)"
"group_mean((open - close)/(returns - close), subindustry)"
"group_zscore(-(open - close)/(returns - close), subindustry)"
"group_rank(-(open - close)/(returns - close), subindustry)"
"group_mean(-(open - close)/(returns - close), subindustry)"
"group_zscore((open - close)/(returns - vwap), subindustry)"
"group_rank((open - close)/(returns - vwap), subindustry)"
"group_mean((open - close)/(returns - vwap), subindustry)"
"group_zscore(-(open - close)/(returns - vwap), subindustry)"
"group_rank(-(open - close)/(returns - vwap), subindustry)"
"group_mean(-(open - close)/(returns - vwap), subindustry)"
"group_zscore((open - close)/(returns - adj_close), subindustry)"
"group_rank((open - close)/(returns - adj_close), subindustry)"
"group_mean((open - close)/(returns - adj_close), subindustry)"
"group_zscore(-(open - close)/(returns - adj_close), subindustry)"
"group_rank(-(open - close)/(returns - adj_close), subindustry)"
"group_mean(-(open - close)/(returns - adj_close), subindustry)"
"group_zscore((open - close)/(adj_close - open), subindustry)"
"group_rank((open - close)/(adj_close - open), subindustry)"
"group_mean((open - close)/(adj_close - open), subindustry)"
"group_zscore(-(open - close)/(adj_close - open), subindustry)"
"group_rank(-(open - close)/(adj_close - open), subindustry)"
"group_mean(-(open - close)/(adj_close - open), subindustry)"
"group_zscore((open - close)/(adj_close - high), subindustry)"
"group_rank((open - close)/(adj_close - high), subindustry)"
"group_mean((open - close)/(adj_close - high), subindustry)"
"group_zscore(-(open - close)/(adj_close - high), subindustry)"
"group_rank(-(open - close)/(adj_close - high), subindustry)"
"group_mean(-(open - close)/(adj_close - high), subindustry)"
"group_zscore((open - close)/(adj_close - low), subindustry)"
"group_rank((open - close)/(adj_close - low), subindustry)"
